bank,file_start,file_end,cpu_start,cpu_end,classification,status,confidence,source_sha256,notes
0x00,0x000000,0x003fff,0x0000,0x3fff,header-and-code,fingerprinted,high,09a083624c4f84ccae99165d4091e7c5403aaf9ae44329a9349b4d59b4095436,bank_sha256=2ad30e7ca84ee2733d76695a5709ed152e86adedef75a8100ecb705257546fdc; entropy=7.101725; unique_bytes=256; zero_bytes=311; ff_bytes=141
0x01,0x004000,0x007fff,0x4000,0x7fff,unclassified,fingerprinted,low,09a083624c4f84ccae99165d4091e7c5403aaf9ae44329a9349b4d59b4095436,bank_sha256=d619e67438248b5257661961c4a0a2c5e08b33b7204c584c4053a5358a49ce7e; entropy=7.245623; unique_bytes=256; zero_bytes=643; ff_bytes=103
0x02,0x008000,0x00bfff,0x4000,0x7fff,unclassified,fingerprinted,low,09a083624c4f84ccae99165d4091e7c5403aaf9ae44329a9349b4d59b4095436,bank_sha256=ba0242166cc019f5b75180783aa0d8b50342aa8b9e2403734ed545ee7e144dca; entropy=7.00814; unique_bytes=256; zero_bytes=386; ff_bytes=269
0x03,0x00c000,0x00ffff,0x4000,0x7fff,unclassified,fingerprinted,low,09a083624c4f84ccae99165d4091e7c5403aaf9ae44329a9349b4d59b4095436,bank_sha256=09ca1c4df5cb7f7b453c030bc11c0277c992ad3062a0dbe45530455f2e189d9c; entropy=7.362883; unique_bytes=256; zero_bytes=404; ff_bytes=303
0x04,0x010000,0x013fff,0x4000,0x7fff,unclassified,fingerprinted,low,09a083624c4f84ccae99165d4091e7c5403aaf9ae44329a9349b4d59b4095436,bank_sha256=68394ab3b80e15c5717f7eba786eb562aa3e18e7db87e7512e2588159bed7361; entropy=6.919092; unique_bytes=256; zero_bytes=1860; ff_bytes=474
0x05,0x014000,0x017fff,0x4000,0x7fff,unclassified,fingerprinted,low,09a083624c4f84ccae99165d4091e7c5403aaf9ae44329a9349b4d59b4095436,bank_sha256=ccf0b699800c124b0f994f65386865abb91246791673bf44f9662729b7e38fe9; entropy=6.341154; unique_bytes=256; zero_bytes=781; ff_bytes=165
0x06,0x018000,0x01bfff,0x4000,0x7fff,unclassified,fingerprinted,low,09a083624c4f84ccae99165d4091e7c5403aaf9ae44329a9349b4d59b4095436,bank_sha256=90104e9eebb569f692732a879966fea332b6330c78a1726f455d5cd7ba5d74cd; entropy=7.321353; unique_bytes=256; zero_bytes=378; ff_bytes=253
0x07,0x01c000,0x01ffff,0x4000,0x7fff,unclassified,fingerprinted,low,09a083624c4f84ccae99165d4091e7c5403aaf9ae44329a9349b4d59b4095436,bank_sha256=4e1cd48ffbe0bfd6ce5a130eb09dd089b633ffa204e196c05290a3ad0fe39edf; entropy=7.174797; unique_bytes=256; zero_bytes=359; ff_bytes=280
0x08,0x020000,0x023fff,0x4000,0x7fff,unclassified,fingerprinted,low,09a083624c4f84ccae99165d4091e7c5403aaf9ae44329a9349b4d59b4095436,bank_sha256=a097de9bf706bc350c8c7abea85d79c19f67cdbcb19a1ff3a21f4e0b335adbd5; entropy=7.121018; unique_bytes=256; zero_bytes=388; ff_bytes=386
0x09,0x024000,0x027fff,0x4000,0x7fff,unclassified,fingerprinted,low,09a083624c4f84ccae99165d4091e7c5403aaf9ae44329a9349b4d59b4095436,bank_sha256=51456cb2b1cea7dafd56b6d8cba92a7976772b792e585c3823488ac51673f952; entropy=7.826166; unique_bytes=256; zero_bytes=19; ff_bytes=195
0x0a,0x028000,0x02bfff,0x4000,0x7fff,unclassified,fingerprinted,low,09a083624c4f84ccae99165d4091e7c5403aaf9ae44329a9349b4d59b4095436,bank_sha256=f7b8884b94afb1e86548cd23da8ff500f2c47464f95e144dd51bc3cbaae5a91a; entropy=7.846132; unique_bytes=256; zero_bytes=59; ff_bytes=197
